material_id,pretty_formula,band_gap
mp-1227994,BaAlSi5N7O2,4.046600000000001
mp-1228193,Ba3Sr(MoO4)4,4.019
mp-1228883,Ba2Pb(SO4)3,4.0554
mp-1229148,Ba13B30(PbO30)2,4.0522
mp-1229316,Ca33In4P28Pb3O112,4.0615000000000006
mp-12427,Sr2TaGaO6,4.0487
mp-1266342,Na11Zr8Si7P5O48,4.0625
mp-12932,TbTaO4,4.018
mp-12933,TmTaO4,4.069
mp-13039,Tm2C(NO)2,4.0346
mp-13042,NaSr3TaO6,4.002700000000001
mp-1427,Lu2O3,4.0310999999999995
mp-15171,K2MgSiO4,4.0028999999999995
mp-1541522,BiPO4,4.0039
mp-1575286,Li2FeP2O7,4.0217
mp-1582,As2O3,4.0676000000000005
mp-1667139,NaLi2FePCO7,4.0154
mp-17275,SrY2O4,4.021
mp-17586,CdS2O7,4.036099999999999
mp-17863,Mn2Si(P2O7)2,4.0263
mp-17950,Nd2(WO4)3,4.0493
mp-18147,LiGaSiO4,4.052899999999999
mp-18215,SrFe3(P2O7)2,4.0312
mp-19054,BaMnCO3F2,4.061299999999999
mp-19219,Li3VO4,4.055400000000001
mp-19234,Ba2WO3F4,4.0458
mp-19479,Na5La(MoO4)4,4.0741000000000005
mp-19957,LaGeBO5,4.0275
mp-21634,Na2W2O7,4.0544
mp-2184,As2O3,4.0275
mp-21892,Al2PbO4,4.0403
mp-22898,KI,4.0433
mp-22909,ZnCl2,4.057
mp-22951,BaIF,4.0286
mp-23301,BiF3,4.0229
mp-23349,Bi(BO2)3,4.0085
mp-23392,K4CdCl6,4.0206
mp-23659,Na4Ga3Si3BrO12,4.0513
mp-23736,LiMgH3,4.043
mp-23860,SrHCl,4.0417
mp-23870,NaH,4.0702
mp-24108,RbCrH24(SO10)2,4.0499
mp-24117,CrFeH18(NF)6,4.02
mp-24120,CaAsH5O6,4.0552
mp-24165,Li2H2SeO5,4.0214
mp-24479,SrH2Br2O7,4.054
mp-24585,LiZnPH2O5,4.0276000000000005
mp-24732,MnH8SO8,4.0532
mp-24830,SiP3H29C10BrN,4.0491
mp-25393,Li2FePO4F,4.0618
mp-25446,Li3NiPCO7,4.0121
mp-25823,LiNi2(PO3)5,4.0085
mp-25991,Li2Ni3(P2O7)2,4.0306999999999995
mp-26271,Li2Sn(PO3)4,4.0623000000000005
mp-26649,Li2SnP2O7,4.0616
mp-27069,Li3Bi2(PO4)3,4.0261
mp-27339,Sb2(SO4)3,4.018
mp-27425,Sr(HO)2,4.0386
mp-27739,As2S2O9,4.0652
mp-27758,AlTl2F5,4.071
mp-28022,Na6CdCl8,4.0214
mp-28074,RbPaF6,4.0043
mp-28276,K2PrBr5,4.0078
mp-28351,Dy2GeO5,4.0049
mp-28971,Rb2Si2O5,4.0403
mp-29304,Y2InCl7,4.0139
mp-29750,CsMgBr3,4.0464
mp-29927,Pb7(BrF6)2,4.063400000000001
mp-30051,Si3CCl7,4.0058
mp-30242,Mg4H2O5,4.006500000000001
mp-34381,H4IN,4.0129
mp-3444,ErTaO4,4.0463000000000005
mp-3472,PbSO4,4.054399999999999
mp-352,HfO2,4.0684
mp-36248,H4BrN,4.0523
mp-3667,P2S2O3,4.0083
mp-3677,MgSiN2,4.031000000000001
mp-3721,SrHfO3,4.0567
mp-39140,Na4Al3Si3HO13,4.025200000000001
mp-39215,Zn3GaB6PO12,4.0713
mp-40201,Na8Be3Si9(ClO12)2,4.0048
mp-40674,Sr5V3O12F,4.0003
mp-40963,Na2ZnP2O7,4.0183
mp-42583,Na8BeAl4Si7(ClO12)2,4.001399999999999
mp-4757,KReO4,4.031700000000001
mp-4917,LaAsO4,4.0024999999999995
mp-504179,LiFe(PO3)3,4.001799999999999
mp-504211,LiSn(PO3)3,4.066000000000001
mp-504371,LiNi6P7O24,4.040799999999999
mp-531793,MgAl2O4,4.020999999999999
mp-532424,KAl11O17,4.0426
mp-534773,Na2Al17Si11B7(H3O31)2,4.069699999999999
mp-5377,YTaO4,4.0311
mp-540946,LiReO4,4.022399999999999
mp-540950,Ba3SrTa2O9,4.033799999999999
mp-540996,NdGeBO5,4.0282
mp-541108,Cd2Si(P2O7)2,4.0752
mp-541190,Cs2LiVO4,4.0063
mp-541226,CsBrF6,4.019
mp-541282,KZr2(AsO4)3,4.0404
mp-541662,Cs3Fe2F9,4.0424
mp-541827,Ba2Zn7F18,4.0588999999999995
mp-545643,BaCO3,4.056900000000001
mp-5492,SrAl2O4,4.0564
mp-550593,Li4CO4,4.0077
mp-5525,KAlO2,4.0037
mp-553883,Ba3WCl2O5,4.0255
mp-554145,Na3SrPCO7,4.0693
mp-554240,NaCa4(BO3)3,4.0534
mp-554765,BaSb2F12,4.0411
mp-555394,SiO2,4.0656
mp-555417,K4Th(MoO4)4,4.0045
mp-555457,Te2S(O2F3)2,4.0117
mp-555574,Dy2O3,4.0275
mp-555606,Na10Be4Si4O17,4.024800000000001
mp-555607,K8Hf(MoO4)6,4.0372
mp-555971,ZnAs2C12(NF)12,4.0453
mp-556012,NaCSN,4.0390999999999995
mp-556018,LiBH15C5NO3,4.0222
mp-556075,SrDy2O4,4.0222999999999995
mp-556186,P2SN3Cl5O,4.0165
mp-556464,SiO2,4.0501000000000005
mp-556548,Bi(BO2)3,4.0679
mp-556631,KZrSnF7,4.0103
mp-556709,Na2ZrSiO5,4.005
mp-556761,Ba5As3ClO12,4.0054
mp-556814,LiNdGeO4,4.0585
mp-556819,Tl2Cd2(SO4)3,4.030900000000001
mp-556936,CsBa(BO2)3,4.0448
mp-557076,SiO2,4.0358
mp-557181,K3Na3(NO4)2,4.0481
mp-557399,KSnSO4F,4.0022
mp-557466,BiF3,4.0576
mp-557775,PSN(Cl2O)2,4.0738
mp-558067,Na8Hf(MoO4)6,4.048
mp-558490,Tb3Se2ClO8,4.0674
mp-5586,NaErO2,4.0546
mp-558629,Ba2ZnSi2O7,4.002800000000001
mp-558781,ScTaO4,4.027699999999999
mp-558844,SNClO,4.0563
mp-558853,AsC3N3F8,4.015
mp-559123,YSiNO2,4.0723
mp-559286,Na4Al3Ge3ClO12,4.0753
mp-559385,SrHo2O4,4.0717
mp-559436,Fe(BO2)2,4.0104
mp-559513,K2NClO3,4.0612
mp-559554,Li2TeO3,4.0144
mp-559704,PH9C3S2NClO4,4.0624
mp-560314,In2H10S3O17,4.0206
mp-560710,Cs2TlMoF6,4.0024
mp-560869,K3VO4,4.048500000000001
mp-560886,SrSi2O5,4.0548
mp-561058,Na3Ga(PO4)2,4.0408
mp-561189,Rb6Si10O23,4.0483
mp-561198,NaSr2CrF8,4.0386
mp-561230,K2BiPWO8,4.0680000000000005
mp-561326,LuSeO3F,4.0104
mp-561664,TeF4,4.0184
mp-565692,K3Bi5(PO4)6,4.0631
mp-567794,ZnH16C4(Br2N)2,4.0687
mp-568848,GaCl2,4.0288
mp-568937,Cs3Y2Br9,4.0443999999999996
mp-570418,YbI2,4.0076
mp-570538,NaN3,4.0526
